item,summary
Analysis unit,"8,199 active user-days from 133 KuaiRec users."
Treatment,"High discovery-breadth day, based on long-tail exposure, new category exposure, and category breadth."
Mediator,"Same-day satisfaction depth, combining watch-ratio, valid-play, completion, and abandonment proxies."
Primary outcome,Future seven-day interactions after the current active day.
Main total effect,"+37.3 future interactions, 95% bootstrap interval [32.2, 42.8]."
Direct pathway,"+38.6 future interactions, larger than the total because the mediated pathway is slightly negative."
Satisfaction-mediated pathway,"-1.3 future interactions, about -3.5% of the total effect."
Play-time outcome,"+0.078 future play hours, with a small positive mediated pathway."
Robustness,Threshold tests kept the total effect positive across 4 specifications; model sensitivity range was 34.8 to 37.6.
Advanced models,LightGBM and XGBoost kept the sign positive but shrank total effects to +3.2 and +2.7.
Main caveat,"The logs are observational, so unobserved user intent and ranking-system state can still confound the estimates."
